"Seller Gstin","Invoice Number","Invoice Date","Transaction Type","Order Id","Shipment Id","Shipment Date","Order Date","Shipment Item Id",Quantity,"Item Description",Asin,Hsn/sac,Sku,"Product Tax Code","Bill From City","Bill From State","Bill From Country","Bill From Postal Code","Ship From City","Ship From State","Ship From Country","Ship From Postal Code","Ship To City","Ship To State","Ship To Country","Ship To Postal Code","Invoice Amount","Tax Exclusive Gross","Total Tax Amount","Cgst Rate","Sgst Rate","Utgst Rate","Igst Rate","Compensatory Cess Rate","Principal Amount","Principal Amount Basis","Cgst Tax","Sgst Tax","Utgst Tax","Igst Tax","Compensatory Cess Tax","Shipping Amount","Shipping Amount Basis","Shipping Cgst Tax","Shipping Sgst Tax","Shipping Utgst Tax","Shipping Igst Tax","Shipping Cess Tax","Gift Wrap Amount","Gift Wrap Amount Basis","Gift Wrap Cgst Tax","Gift Wrap Sgst Tax","Gift Wrap Utgst Tax","Gift Wrap Igst Tax","Gift Wrap Compensatory Cess Tax","Item Promo Discount","Item Promo Discount Basis","Item Promo Tax","Shipping Promo Discount","Shipping Promo Discount Basis","Shipping Promo Tax","Gift Wrap Promo Discount","Gift Wrap Promo Discount Basis","Gift Wrap Promo Tax","Tcs Cgst Rate","Tcs Cgst Amount","Tcs Sgst Rate","Tcs Sgst Amount","Tcs Utgst Rate","Tcs Utgst Amount","Tcs Igst Rate","Tcs Igst Amount","Warehouse Id","Fulfillment Channel","Payment Method Code","Bill To City","Bill To State","Bill To Country","Bill To Postalcode","Customer Bill To Gstid","Customer Ship To Gstid","Buyer Name","Credit Note No","Credit Note Date","Irn Number","Irn Filing Status","Irn Date","Irn Error Code"
06DCXPS3844E1Z1,DEL5-4044,"2026-02-02 16:54:00",Shipment,406-6088050-9123529,A0446444R3OUTDTC4HHE,"2026-02-02 18:25:45","2026-02-02 12:02:49",549531790343,1,"CRASOME Non Woven Water Dispenser For 20 Ltr   Litre Bottle Jar Cover With Transparent Strap   Black  DC TS BLK ",B0CTMTGSL9,630790,CRM-DC-TS-NW-BLACK,A_GEN_SUPERREDUCED,BENGALURU,KARNATAKA,IN,562149,Gurgaon,HARYANA,IN,122413,JAIPUR,RAJASTHAN,IN,302029,249,237.14,11.86,0,0,0,0.05,0,249,237.14,0,0,0,11.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,1.19,DEL5,AFN,PayStation,Jaipur,RAJASTHAN,IN,302029,08DTPPS3041Q1ZS,,"SRI RAM PAPER AND BOARD",,,,,,
06DCXPS3844E1Z1,DEL5-4056,"2026-02-03 02:33:55",Shipment,406-1315925-6976327,A0812278AZ8II8ZR1YA7,"2026-02-03 10:04:53","2026-02-02 23:32:44",549614717394,1,"Crasome Dust   Water Proof Printer Cover for Canon Pixma G2770   G3770   G3730   G2730  Grey ",B0DKTH64QZ,630790,CRM-PR-670-G3770-GREY,A_GEN_SUPERREDUCED,BENGALURU,KARNATAKA,IN,562149,Gurgaon,HARYANA,IN,122413,"NEW DELHI",DELHI,IN,110008,253.82,241.74,12.08,0,0,0,0.05,0,259,246.67,0,0,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.18,-4.93,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.005,1.21,DEL5,AFN,COD,"NEW DELHI",DELHI,IN,110008,07AAMFR6557R1Z4,,"Raj Musicals",,,,,,
06DCXPS3844E1Z1,DEL5-4070,"2026-02-03 22:33:58",Shipment,402-7839331-0624347,A07175843KVIKSBUP6IX4,"2026-02-04 03:05:15","2026-02-03 18:24:55",549692766067,1,"CRASOME Water Dispenser for 20 ltr   Litre Bottle Jar Cover  Grey Pack of 2 ",B0CH3F8952,630790,"CRM_NW_GREY_DC_PACK OF 2",A_GEN_SUPERREDUCED,BENGALURU,KARNATAKA,IN,562149,Gurgaon,HARYANA,IN,122413,KOLAR,KARNATAKA,IN,563103,319,303.81,15.19,0,0,0,0.05,0,319,303.81,0,0,0,15.19,0,40,38.1,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,-40,-38.1,-1.9,0,0,0,0,0,0,0,0,0,0.005,1.52,DEL5,AFN,CC,BENGALURU,KARNATAKA,IN,560071,29AAGFF7778Q1Z9,,"FERNS ESTATES   DEVELOPERS",,,,,,
06DCXPS3844E1Z1,DEL5-4065,"2026-02-03 19:33:54",Shipment,403-4078663-5909936,A004407417ZOW5R8ZLVM0,"2026-02-04 19:30:51","2026-02-03 10:16:29",549613226016,1,"Crasome Dust   Water Proof Printer Cover for Brother Ink Tank DCP T730DW  Grey ",B0FW4SM5D3,630790,CRM-BR-T730DW-Grey,A_GEN_SUPERREDUCED,BENGALURU,KARNATAKA,IN,562149,Gurgaon,HARYANA,IN,122413,Pune,MAHARASHTRA,IN,411033,259,246.67,12.33,0,0,0,0.05,0,259,246.67,0,0,0,12.33,0,40,38.1,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,-40,-38.1,-1.9,0,0,0,0,0,0,0,0,0,0.005,1.23,DEL5,AFN,CC,"PIMPRI CHINCHWAD",MAHARASHTRA,IN,411033,27AFUFS5512G1ZL,,"SYNERGY SYSTEMS",,,,,,
06DCXPS3844E1Z1,DEL5-4084,"2026-02-04 20:24:02",Shipment,402-0654916-7977913,A0499010GZMWJMXR9C1M,"2026-02-05 09:49:48","2026-02-04 10:41:16",549766115341,1,"CRASOME Non Woven Water Dispenser For 20 Ltr   Litre Bottle Jar Cover With Transparent Strap   Black  DC TS BLK ",B0CTMTGSL9,630790,CRM-DC-TS-NW-BLACK,A_GEN_SUPERREDUCED,BENGALURU,KARNATAKA,IN,562149,Gurgaon,HARYANA,IN,122413,Noida,"UTTAR PRADESH",IN,201301,249,237.14,11.86,0,0,0,0.05,0,249,237.14,0,0,0,11.86,0,40,38.1,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,-40,-38.1,-1.9,0,0,0,0,0,0,0,0,0,0.005,1.19,DEL5,AFN,CC,Noida,"UTTAR PRADESH",IN,201306,09AAICT2565N1ZO,,"Team Variance",,,,,,
06DCXPS3844E1Z1,DEL5-4104,"2026-02-05 18:23:48",Shipment,406-2271312-3385944,A00899772S8IQ1X13I6CF,"2026-02-06 09:51:06","2026-02-03 16:17:05",550087176852,1,"CRASOME Non Woven Dust   Water Proof Printer Cover for Canon Pixma E470   E477  Grey ",B0DN9JXDRD,630790,CRM-PR-4826-E477-GREY,A_GEN_SUPERREDUCED,BENGALURU,KARNATAKA,IN,562149,Gurgaon,HARYANA,IN,122413,"NEW DELHI",DELHI,IN,110037,253.82,241.74,12.08,0,0,0,0.05,0,259,246.67,0,0,0,12.33,0,40,38.1,0,0,0,1.9,0,0,0,0,0,0,0,0,-5.18,-4.93,-0.25,-40,-38.1,-1.9,0,0,0,0,0,0,0,0,0,0.005,1.21,DEL5,AFN,CC,MUMBAI,MAHARASHTRA,IN,400005,27AAGFN3266K1ZY,,"NMI SYSTEMS",,,,,,
06DCXPS3844E1Z1,DEL5-4114,"2026-02-06 13:03:44",Shipment,405-6806782-0808324,A0854189TZJ70SXQEHMF,"2026-02-06 17:13:49","2026-02-06 12:44:40",550066750600,1,"CRASOME Non Woven Water Dispenser For 20 Ltr   Litre Bottle Jar Cover With Transparent Strap   Black  DC TS BLK ",B0CTMTGSL9,630790,CRM-DC-TS-NW-BLACK,A_GEN_SUPERREDUCED,BENGALURU,KARNATAKA,IN,562149,Gurgaon,HARYANA,IN,122413,Noida,"UTTAR PRADESH",IN,201305,244.02,232.4,11.62,0,0,0,0.05,0,249,237.14,0,0,0,11.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.98,-4.74,-0.24,0,0,0,0,0,0,0,0,0,0,0,0,0.005,1.16,DEL5,AFN,CC,NOIDA,"UTTAR PRADESH",IN,201304,09AYWPG9035F2ZW,,"TARUN GUPTA",,,,,,
06DCXPS3844E1Z1,DEL4-3612,"2026-02-06 22:01:32",Shipment,171-5572848-1855512,A064470534W4RYL1SHJ9G,"2026-02-07 03:28:47","2026-02-06 17:42:26",550459013949,1,"CRASOME Water Dispenser for 20 ltr   Litre Bottle Jar Cover  Grey Pack of 5 ",B0CH3L3PYX,630790,"CRM_NW_GREY_DC_PACK OF 5",A_GEN_SUPERREDUCED,BENGALURU,KARNATAKA,IN,562149,Gurgaon,HARYANA,IN,122503,LUCKNOW,"UTTAR PRADESH",IN,226010,629.53,599.56,29.97,0,0,0,0.05,0,649,618.1,0,0,0,30.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.47,-18.54,-0.93,0,0,0,0,0,0,0,0,0,0,0,0,0.005,3,DEL4,AFN,CC,"NEW DELHI",DELHI,IN,110034,07AUPPG7769K1ZS,,"AIN Techno Services",,,,,,
06DCXPS3844E1Z1,DEL4-3612,"2026-02-06 22:01:32",Shipment,171-5572848-1855512,A064470534W4RYL1SHJ9G,"2026-02-07 03:28:47","2026-02-06 17:42:26",550430566515,1,"CRASOME Water Dispenser for 20 ltr   Litre Bottle Jar Cover  Grey ",B0BM4JLSPK,630790,CRM_NW_GREY_DC,A_GEN_SUPERREDUCED,BENGALURU,KARNATAKA,IN,562149,Gurgaon,HARYANA,IN,122503,LUCKNOW,"UTTAR PRADESH",IN,226010,241.53,230.03,11.5,0,0,0,0.05,0,249,237.14,0,0,0,11.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.47,-7.11,-0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.005,1.15,DEL4,AFN,CC,"NEW DELHI",DELHI,IN,110034,07AUPPG7769K1ZS,,"AIN Techno Services",,,,,,
06DCXPS3844E1Z1,DEL5-4120,"2026-02-06 16:23:38",Shipment,407-7306171-4509109,A0470619MWRQ762ZA6O9,"2026-02-07 04:19:50","2026-02-06 12:12:16",550552115994,7,"Crasome Water Dispenser for 20 ltr   Litre Bottle Jar Cover with Transparent Strap   Grey Pack of 2  DC TS G 2Q ",B0CTMJ1GV9,630790,CRM-DC-TS-NW-GREY-2Q,A_GEN_SUPERREDUCED,BENGALURU,KARNATAKA,IN,562149,Gurgaon,HARYANA,IN,122413,GUNTUR,"ANDHRA PRADESH",IN,522001,2121.35,2020.34,101.01,0,0,0,0.05,0,2233,2126.67,0,0,0,106.33,0,280,266.7,0,0,0,13.3,0,0,0,0,0,0,0,0,-111.65,-106.33,-5.32,-280,-266.7,-13.3,0,0,0,0,0,0,0,0,0,0.005,10.08,DEL5,AFN,NB,GUNTUR,"ANDHRA PRADESH",IN,522001,37AAGCP6823R1ZM,,"PIONEER AUTOWORLD  GUNTUR  PRIVATE LIMITED",,,,,,
